id,geometry
,POINT (127.051737866004 37.545803899402486)
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,POINT (126.88991825017322 37.51058983063345)
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,POINT (127.04789805975389 37.5041652750948)
,POINT (127.0500827010265 37.50484980495336)
,POINT (127.05352917695156 37.505921309375886)
,POINT (127.06181000106757 37.50847207014753)
,POINT (127.06425870027344 37.50921377320943)
,POINT (127.06727045385338 37.51003634890936)
,POINT (127.06774337067036 37.51013453267313)
,POINT (127.06943920224586 37.51038928049432)
,POINT (127.07259031364926 37.51084665159429)
,POINT (127.07496384119065 37.51125324457721)
,POINT (127.0790522857866 37.51194945643524)
,POINT (127.08329492285431 37.511814488789184)
,POINT (127.08508123858874 37.51164338843971)
,POINT (127.0878394304249 37.51153162769187)
,POINT (127.08834179068651 37.51157959090973)
,POINT (127.0889051399653 37.51158443240425)
,POINT (127.0933779570856 37.512017618825546)
,POINT (127.09628235116816 37.512323785552304)
,POINT (127.09682104807854 37.51243285072973)
,POINT (127.09745154989018 37.512574107462385)
,POINT (127.09893301728691 37.512928589502565)
,POINT (127.10117381276926 37.51356122597418)
,POINT (127.10341282378322 37.514364799497876)
,POINT (127.1035299777453 37.51448113357257)
,POINT (127.10358027572795 37.51468093002001)
,POINT (127.10357839578357 37.514838342405035)
,POINT (127.10365528461416 37.51501735009175)
,POINT (127.10431807253833 37.515767539406504)
,POINT (127.10457647454777 37.51618930815557)
,POINT (127.1047557242867 37.51662097243644)
,POINT (127.10489346704058 37.51722024404513)
,POINT (127.10495456264367 37.51783693418165)
,POINT (127.10493738283982 37.51817265574052)
,POINT (127.10458505013246 37.518999118834735)
,POINT (127.10421146979641 37.51996678291874)
,POINT (127.10336533736987 37.52150083362651)
,POINT (127.10033295069833 37.52616563451745)
,POINT (127.09729171080168 37.531010487449656)
,POINT (127.09525284976978 37.53426299749499)
,POINT (127.09437374216152 37.53563463904361)
,POINT (127.09356073222014 37.536719138933684)
,POINT (127.09306745442002 37.53719814662018)
,POINT (127.0927217534525 37.53745787166911)
,POINT (127.09229765052659 37.53766452689382)
,POINT (127.09187391788659 37.537839690021364)
,POINT (127.0913982503417 37.5379514904936)
,POINT (127.09088640058256 37.53806529566529)
,POINT (127.08964827998302 37.538034781708625)
,POINT (127.08708673115612 37.53738665935143)
,POINT (127.08510372867593 37.536868571376445)
,POINT (127.08403143873046 37.536603164601026)
,POINT (127.08375530059007 37.53655904539688)
,POINT (127.08347877805379 37.536546407735855)
,POINT (127.08318831663533 37.53659663170516)
